sample,reads_in,reads_out,percentage_retained
Neg1-MiFish-E_S341_,216,153,70.8333333333333
Neg2-MiFish-E_S342_,325,195,60
Neg3-MiFish-E_S343_,265,192,72.4528301886792
tdna001-Rep1-MiFish-E_S173_,48001,44747,93.2209745630299
tdna001-Rep2-MiFish-E_S229_,93007,87736,94.3326846366403
tdna001-Rep3-MiFish-E_S285_,9381,8918,95.064492058416
tdna002-Rep1-MiFish-E_S174_,42830,39874,93.0982955872052
tdna002-Rep2-MiFish-E_S230_,68034,64382,94.6320957168475
tdna002-Rep3-MiFish-E_S286_,20392,19123,93.7769713613182
tdna003-Rep1-MiFish-E_S175_,24047,22595,93.9618247598453
tdna003-Rep2-MiFish-E_S231_,55640,53041,95.3289000718907
tdna003-Rep3-MiFish-E_S287_,23401,21994,93.9874364343404
tdna004-Rep1-MiFish-E_S176_,68940,64354,93.3478387003191
tdna004-Rep2-MiFish-E_S232_,30517,28564,93.6002883638628
tdna004-Rep3-MiFish-E_S288_,51200,48413,94.556640625
tdna005-Rep1-MiFish-E_S177_,7384,6589,89.2334777898158
tdna005-Rep2-MiFish-E_S233_,11138,10508,94.343688274376
tdna005-Rep3-MiFish-E_S289_,3087,2857,92.549400712666
tdna006-Rep1-MiFish-E_S178_,27038,24545,90.7796434647533
tdna006-Rep2-MiFish-E_S234_,28339,26262,92.6708775891881
tdna006-Rep3-MiFish-E_S290_,24878,23353,93.8700860197765
tdna007-Rep1-MiFish-E_S179_,4278,3766,88.0317905563347
tdna007-Rep2-MiFish-E_S235_,11172,10495,93.9402076620122
tdna007-Rep3-MiFish-E_S291_,28445,27210,95.658287924064
tdna008-Rep1-MiFish-E_S180_,10889,9720,89.2643952612728
tdna008-Rep2-MiFish-E_S236_,21462,20107,93.6865157021713
tdna008-Rep3-MiFish-E_S292_,15169,14261,94.0141077196915
tdna009-Rep1-MiFish-E_S181_,3437,2820,82.048297934245
tdna009-Rep2-MiFish-E_S237_,2066,1164,56.3407550822846
tdna009-Rep3-MiFish-E_S293_,1187,1067,89.8904802021904
tdna010-Rep1-MiFish-E_S182_,18420,16565,89.929424538545
tdna010-Rep2-MiFish-E_S238_,37011,33649,90.9162140985112
tdna010-Rep3-MiFish-E_S294_,10152,9354,92.1394799054374
tdna011-Rep1-MiFish-E_S183_,21183,19945,94.1556908841996
tdna011-Rep2-MiFish-E_S239_,9979,9077,90.96101813809
tdna011-Rep3-MiFish-E_S295_,17009,15940,93.7150920101123
tdna012-Rep1-MiFish-E_S184_,75301,70620,93.783615091433
tdna012-Rep2-MiFish-E_S240_,89156,82643,92.6948270447306
tdna012-Rep3-MiFish-E_S296_,86540,82307,95.1086202911948
tdna013-Rep1-MiFish-E_S185_,9806,9001,91.790740363043
tdna013-Rep2-MiFish-E_S241_,33651,31183,92.6658940298951
tdna013-Rep3-MiFish-E_S297_,35725,33970,95.0874737578726
tdna014-Rep1-MiFish-E_S186_,38865,35795,92.10086195806
tdna014-Rep2-MiFish-E_S242_,27026,24246,89.7136091171464
tdna014-Rep3-MiFish-E_S298_,48826,46064,94.3431778150985
tdna015-Rep1-MiFish-E_S187_,16824,15526,92.2848311935331
tdna015-Rep2-MiFish-E_S243_,8729,7940,90.9611639363043
tdna015-Rep3-MiFish-E_S299_,8611,8192,95.1341307629776
tdna016-Rep1-MiFish-E_S188_,549756,501283,91.1828156491243
tdna016-Rep2-MiFish-E_S244_,218511,204610,93.6383065383436
tdna016-Rep3-MiFish-E_S300_,150612,142857,94.8510078878177
tdna017-Rep1-MiFish-E_S189_,85831,81271,94.6872342160758
tdna017-Rep2-MiFish-E_S245_,10912,10223,93.6858504398827
tdna017-Rep3-MiFish-E_S301_,29659,27799,93.7287164098587
tdna018-Rep1-MiFish-E_S190_,55122,51874,94.1076158339683
tdna018-Rep2-MiFish-E_S246_,51066,48284,94.5521482003682
tdna018-Rep3-MiFish-E_S302_,39116,35884,91.7373964618059
tdna019-Rep1-MiFish-E_S191_,147771,141688,95.883495408436
tdna019-Rep2-MiFish-E_S247_,72624,69210,95.2990746860542
tdna019-Rep3-MiFish-E_S303_,105068,99021,94.2446796360452
tdna020-Rep1-MiFish-E_S192_,33693,31349,93.0430653251417
tdna020-Rep2-MiFish-E_S248_,142250,133759,94.0309314586995
tdna020-Rep3-MiFish-E_S304_,26114,24341,93.2105384085165
tdna021-Rep1-MiFish-E_S193_,108115,103175,95.4307912870555
tdna021-Rep2-MiFish-E_S249_,155725,148111,95.1106116551613
tdna021-Rep3-MiFish-E_S305_,23621,22066,93.4168748147835
tdna022-Rep1-MiFish-E_S194_,17482,16041,91.757236014186
tdna022-Rep2-MiFish-E_S250_,9736,8908,91.4954806902219
tdna022-Rep3-MiFish-E_S306_,23125,21329,92.2335135135135
tdna023-Rep1-MiFish-E_S195_,21726,20371,93.7632329927276
tdna023-Rep2-MiFish-E_S251_,14894,14005,94.0311534846247
tdna023-Rep3-MiFish-E_S307_,15029,14175,94.3176525384257
tdna024-Rep1-MiFish-E_S196_,20709,19399,93.674247911536
tdna024-Rep2-MiFish-E_S252_,32270,30199,93.5822745584134
tdna024-Rep3-MiFish-E_S308_,29233,27306,93.4081346423562
tdna025-Rep1-MiFish-E_S197_,7236,6673,92.2194582642344
tdna025-Rep2-MiFish-E_S253_,2984,2732,91.5549597855228
tdna025-Rep3-MiFish-E_S309_,1693,1444,85.2923803898405
tdna026-Rep1-MiFish-E_S198_,8078,7502,92.8695221589502
tdna026-Rep2-MiFish-E_S254_,4037,3719,92.1228635125093
tdna026-Rep3-MiFish-E_S310_,2212,1638,74.0506329113924
tdna027-Rep1-MiFish-E_S199_,26943,25558,94.859518242215
tdna027-Rep2-MiFish-E_S255_,5119,4779,93.3580777495605
tdna027-Rep3-MiFish-E_S311_,14452,13200,91.3368391918074
tdna028-Rep1-MiFish-E_S200_,215046,202590,94.2077508998075
tdna028-Rep2-MiFish-E_S256_,93213,85525,91.7522234023151
tdna028-Rep3-MiFish-E_S312_,76163,72318,94.9516169268542
tdna029-Rep1-MiFish-E_S201_,72212,68802,95.277793164571
tdna029-Rep2-MiFish-E_S257_,86158,81629,94.7433784442536
tdna029-Rep3-MiFish-E_S313_,45111,42599,94.4315133781118
tdna030-Rep1-MiFish-E_S202_,99950,93336,93.3826913456728
tdna030-Rep2-MiFish-E_S258_,118794,110169,92.7395322996111
tdna030-Rep3-MiFish-E_S314_,58519,55232,94.3830208991951
tdna031-Rep1-MiFish-E_S203_,18945,17861,94.2781736605965
tdna031-Rep2-MiFish-E_S259_,29886,28429,95.1248076022218
tdna031-Rep3-MiFish-E_S315_,2884,2680,92.9264909847434
tdna032-Rep1-MiFish-E_S204_,2682,2184,81.4317673378076
tdna032-Rep2-MiFish-E_S260_,27196,25525,93.8557140755994
tdna032-Rep3-MiFish-E_S316_,7455,6699,89.8591549295775
tdna033-Rep1-MiFish-E_S205_,31270,29107,93.0828269907259
tdna033-Rep2-MiFish-E_S261_,7077,6655,94.0370213367246
tdna033-Rep3-MiFish-E_S317_,56085,52818,94.1749130783632
tdna034-Rep1-MiFish-E_S206_,252346,237022,93.9273854152632
tdna034-Rep2-MiFish-E_S262_,9193,8617,93.7343631023605
tdna034-Rep3-MiFish-E_S318_,184329,171950,93.2842905891097
tdna035-Rep1-MiFish-E_S207_,190624,181729,95.3337460130938
tdna035-Rep2-MiFish-E_S263_,13660,13111,95.9809663250366
tdna035-Rep3-MiFish-E_S319_,73955,69673,94.2099925630451
tdna036-Rep1-MiFish-E_S208_,72210,67267,93.1546877163828
tdna036-Rep2-MiFish-E_S264_,12763,12061,94.4997257698033
tdna036-Rep3-MiFish-E_S320_,19901,18576,93.3420431134114
tdna037-Rep1-MiFish-E_S209_,82902,78319,94.4717859641504
tdna037-Rep2-MiFish-E_S265_,8123,7740,95.2849932291025
tdna037-Rep3-MiFish-E_S321_,98537,93311,94.696408455707
tdna038-Rep1-MiFish-E_S210_,70865,65165,91.9565370775418
tdna038-Rep2-MiFish-E_S266_,84253,78764,93.4850984534675
tdna038-Rep3-MiFish-E_S322_,66636,62441,93.7046041178942
tdna039-Rep1-MiFish-E_S211_,13764,12670,92.0517291485033
tdna039-Rep2-MiFish-E_S267_,16029,15186,94.7407823320232
tdna039-Rep3-MiFish-E_S323_,6567,6101,92.9039135069286
tdna040-Rep1-MiFish-E_S212_,11022,9089,82.4623480312103
tdna040-Rep2-MiFish-E_S268_,14822,14073,94.9467008500877
tdna040-Rep3-MiFish-E_S324_,13190,12173,92.289613343442
tdna041-Rep1-MiFish-E_S213_,178200,167726,94.1223344556678
tdna041-Rep2-MiFish-E_S269_,128967,121626,94.3078461932122
tdna041-Rep3-MiFish-E_S325_,4059,3688,90.859817689086
tdna042-Rep1-MiFish-E_S214_,34386,32125,93.4246495666841
tdna042-Rep2-MiFish-E_S270_,27825,25653,92.1940700808625
tdna042-Rep3-MiFish-E_S326_,21255,19790,93.1075041166784
tdna044-Rep1-MiFish-E_S215_,144820,138223,95.4446899599503
tdna044-Rep2-MiFish-E_S271_,105143,100346,95.4376420684211
tdna044-Rep3-MiFish-E_S327_,19246,18039,93.7285669749558
tdna045-Rep1-MiFish-E_S216_,201956,189467,93.8159797183545
tdna045-Rep2-MiFish-E_S272_,45314,42714,94.2622589045328
tdna045-Rep3-MiFish-E_S328_,18412,17342,94.1885726699978
tdna046-Rep1-MiFish-E_S217_,18715,17494,93.4758215335293
tdna046-Rep2-MiFish-E_S273_,5325,4946,92.8826291079812
tdna046-Rep3-MiFish-E_S329_,6316,5925,93.8093730208993
tdna047-Rep1-MiFish-E_S218_,448672,420116,93.6354396975965
tdna047-Rep2-MiFish-E_S274_,145575,137590,94.5148548857977
tdna047-Rep3-MiFish-E_S330_,272491,259632,95.2809450587359
tdna048-Rep1-MiFish-E_S219_,174455,165107,94.641598119859
tdna048-Rep2-MiFish-E_S275_,83620,79262,94.78832815116
tdna048-Rep3-MiFish-E_S331_,51978,49772,95.7558967255377
tdna049-Rep1-MiFish-E_S220_,168353,159677,94.8465426811521
tdna049-Rep2-MiFish-E_S276_,161600,152004,94.0618811881188
tdna049-Rep3-MiFish-E_S332_,108235,102643,94.8334642213702
tdna050-Rep1-MiFish-E_S221_,201981,190628,94.3791742787688
tdna050-Rep2-MiFish-E_S277_,72019,68484,95.0915730571099
tdna050-Rep3-MiFish-E_S333_,100595,94681,94.1209801680004
tdna051-Rep1-MiFish-E_S222_,104620,98464,94.1158478302428
tdna051-Rep2-MiFish-E_S278_,116682,109746,94.05563840181
tdna051-Rep3-MiFish-E_S334_,156141,145119,92.9409956385575
tdna052-Rep1-MiFish-E_S223_,181664,172999,95.2302052140215
tdna052-Rep2-MiFish-E_S279_,131439,124695,94.8691027777144
tdna052-Rep3-MiFish-E_S335_,113918,106149,93.1801822363454
tdna053-Rep1-MiFish-E_S224_,94637,88233,93.2330906516479
tdna053-Rep2-MiFish-E_S280_,37358,35327,94.5634134589646
tdna053-Rep3-MiFish-E_S336_,50527,47551,94.1100797593366
tdna054-Rep1-MiFish-E_S225_,346234,329584,95.1911135243795
tdna054-Rep2-MiFish-E_S281_,137301,131084,95.4719921923365
tdna054-Rep3-MiFish-E_S337_,98715,93286,94.5003292306134
tdna055-Rep1-MiFish-E_S226_,58398,53524,91.6538237610877
tdna055-Rep2-MiFish-E_S282_,112728,106825,94.7635015257966
tdna055-Rep3-MiFish-E_S338_,212564,201038,94.5776330893284
tdna056-Rep1-MiFish-E_S227_,179735,169799,94.4718613514341
tdna056-Rep2-MiFish-E_S283_,166381,159367,95.784374417752
tdna056-Rep3-MiFish-E_S339_,208830,198776,95.1855576306086
tdna057-Rep1-MiFish-E_S228_,155243,146374,94.287020992895
tdna057-Rep2-MiFish-E_S284_,162581,154629,95.1088995639097
tdna057-Rep3-MiFish-E_S340_,383322,360925,94.1571316021517
NEG-1_S169_,215,122,56.7441860465116
NEG-2_S170_,348,186,53.448275862069
NEG-3_S171_,385,200,51.9480519480519
NEG-4_S172_,217,129,59.4470046082949
tdna001-Rep1-MiFish-U_S1_,77195,72904,94.4413498283568
tdna001-Rep2-MiFish-U_S57_,66641,62589,93.9196590687415
tdna001-Rep3-MiFish-U_S113_,48674,46360,95.2459218473929
tdna002-Rep1-MiFish-U_S2_,62403,58461,93.6829960098072
tdna002-Rep2-MiFish-U_S58_,86037,81278,94.4686588328277
tdna002-Rep3-MiFish-U_S114_,97616,92171,94.4220209801672
tdna003-Rep1-MiFish-U_S3_,73983,70066,94.705540461998
tdna003-Rep2-MiFish-U_S59_,80129,76603,95.5995956520111
tdna003-Rep3-MiFish-U_S115_,69983,65116,93.0454538959462
tdna004-Rep1-MiFish-U_S4_,65333,61334,93.8790504033184
tdna004-Rep2-MiFish-U_S60_,84768,80147,94.5486504341261
tdna004-Rep3-MiFish-U_S116_,41944,40198,95.837306885371
tdna005-Rep1-MiFish-U_S5_,65891,62604,95.0114583175244
tdna005-Rep2-MiFish-U_S61_,44713,42753,95.6164873750363
tdna005-Rep3-MiFish-U_S117_,27889,26464,94.8904586037506
tdna006-Rep1-MiFish-U_S6_,1782,1108,62.1773288439955
tdna006-Rep2-MiFish-U_S62_,72617,67915,93.5249321784155
tdna006-Rep3-MiFish-U_S118_,45856,43664,95.2198185624564
tdna007-Rep1-MiFish-U_S7_,84916,80428,94.7147769560507
tdna007-Rep2-MiFish-U_S63_,74412,70769,95.1042842552277
tdna007-Rep3-MiFish-U_S119_,18968,18148,95.6769295655841
tdna008-Rep1-MiFish-U_S8_,44815,42130,94.0087024433783
tdna008-Rep2-MiFish-U_S64_,66608,62804,94.2889742973817
tdna008-Rep3-MiFish-U_S120_,9115,8483,93.0663741086122
tdna009-Rep1-MiFish-U_S9_,1083,638,58.9104339796861
tdna009-Rep2-MiFish-U_S65_,871,445,51.0907003444317
tdna009-Rep3-MiFish-U_S121_,69030,66378,96.1581920903955
tdna010-Rep1-MiFish-U_S10_,103411,97749,94.5247604220054
tdna010-Rep2-MiFish-U_S66_,89065,84174,94.5085050244204
tdna010-Rep3-MiFish-U_S122_,69145,62186,89.9356424904187
tdna011-Rep1-MiFish-U_S11_,86706,82658,95.3313496182502
tdna011-Rep2-MiFish-U_S67_,70959,67917,95.7130173762313
tdna011-Rep3-MiFish-U_S123_,101786,96617,94.9216984654078
tdna012-Rep1-MiFish-U_S12_,84571,79876,94.4484515968831
tdna012-Rep2-MiFish-U_S68_,105125,99643,94.785255648038
tdna012-Rep3-MiFish-U_S124_,80673,77159,95.6441436416149
tdna013-Rep1-MiFish-U_S13_,1433,1081,75.4361479413817
tdna013-Rep2-MiFish-U_S69_,44710,42489,95.03243122344
tdna013-Rep3-MiFish-U_S125_,77195,73910,95.7445430403524
tdna014-Rep1-MiFish-U_S14_,86315,81235,94.1145803162834
tdna014-Rep2-MiFish-U_S70_,76649,71923,93.8342313663583
tdna014-Rep3-MiFish-U_S126_,43896,41865,95.3731547293603
tdna015-Rep1-MiFish-U_S15_,57077,53889,94.4145627836081
tdna015-Rep2-MiFish-U_S71_,1163,895,76.9561478933792
tdna015-Rep3-MiFish-U_S127_,34258,32742,95.5747562613112
tdna016-Rep1-MiFish-U_S16_,90209,85307,94.565952399428
tdna016-Rep2-MiFish-U_S72_,81389,77391,95.087788276057
tdna016-Rep3-MiFish-U_S128_,103203,98812,95.7452787225178
tdna017-Rep1-MiFish-U_S17_,124853,119701,95.8735472916149
tdna017-Rep2-MiFish-U_S73_,87738,82991,94.5895735029292
tdna017-Rep3-MiFish-U_S129_,76037,72536,95.3956626379263
tdna018-Rep1-MiFish-U_S18_,92100,88209,95.7752442996743
tdna018-Rep2-MiFish-U_S74_,77947,73510,94.3076705966875
tdna018-Rep3-MiFish-U_S130_,85696,80641,94.1012415982076
tdna019-Rep1-MiFish-U_S19_,86447,83235,96.284428609437
tdna019-Rep2-MiFish-U_S75_,86172,82375,95.5936963282737
tdna019-Rep3-MiFish-U_S131_,91892,86732,94.3847124885735
tdna020-Rep1-MiFish-U_S20_,139301,133193,95.6152504289273
tdna020-Rep2-MiFish-U_S76_,86932,82409,94.7970827773432
tdna020-Rep3-MiFish-U_S132_,95458,90830,95.1517945064845
tdna021-Rep1-MiFish-U_S21_,94129,90227,95.8546250358551
tdna021-Rep2-MiFish-U_S77_,116594,111315,95.472322761034
tdna021-Rep3-MiFish-U_S133_,100829,96035,95.2454155054597
tdna022-Rep1-MiFish-U_S22_,73152,69448,94.9365704286964
tdna022-Rep2-MiFish-U_S78_,89391,84183,94.1739101251804
tdna022-Rep3-MiFish-U_S134_,89349,84965,95.0933977996396
tdna023-Rep1-MiFish-U_S23_,81261,78027,96.0202311071732
tdna023-Rep2-MiFish-U_S79_,68144,64683,94.921049542146
tdna023-Rep3-MiFish-U_S135_,76409,73260,95.8787577379628
tdna024-Rep1-MiFish-U_S24_,103177,99207,96.1522432325034
tdna024-Rep2-MiFish-U_S80_,66559,61902,93.0032001682718
tdna024-Rep3-MiFish-U_S136_,75805,72532,95.6823428533738
tdna025-Rep1-MiFish-U_S25_,207931,197967,95.2080257393078
tdna025-Rep2-MiFish-U_S81_,104428,99809,95.5768567817061
tdna025-Rep3-MiFish-U_S137_,83148,79025,95.0413720113532
tdna026-Rep1-MiFish-U_S26_,19501,18189,93.272139890262
tdna026-Rep2-MiFish-U_S82_,76832,73065,95.0970949604332
tdna026-Rep3-MiFish-U_S138_,85095,79784,93.758740231506
tdna027-Rep1-MiFish-U_S27_,118144,110586,93.6027221018418
tdna027-Rep2-MiFish-U_S83_,62075,59055,95.1349174385824
tdna027-Rep3-MiFish-U_S139_,83722,78040,93.2132533862067
tdna028-Rep1-MiFish-U_S28_,140566,133393,94.8970590327675
tdna028-Rep2-MiFish-U_S84_,85479,81348,95.1672340574878
tdna028-Rep3-MiFish-U_S140_,99321,94507,95.1530894775526
tdna029-Rep1-MiFish-U_S29_,43591,39370,90.3168085155193
tdna029-Rep2-MiFish-U_S85_,80511,77286,95.9943361776652
tdna029-Rep3-MiFish-U_S141_,88546,83739,94.571183339733
tdna030-Rep1-MiFish-U_S30_,65825,61717,93.7592100265856
tdna030-Rep2-MiFish-U_S86_,100830,94885,94.103937320242
tdna030-Rep3-MiFish-U_S142_,98047,92663,94.5087560047732
tdna031-Rep1-MiFish-U_S31_,83530,79875,95.6243265892494
tdna031-Rep2-MiFish-U_S87_,41078,38785,94.4179366084035
tdna031-Rep3-MiFish-U_S143_,64129,60872,94.9211745076331
tdna032-Rep1-MiFish-U_S32_,68828,65493,95.1545882489684
tdna032-Rep2-MiFish-U_S88_,45114,42951,95.2054794520548
tdna032-Rep3-MiFish-U_S144_,105820,100390,94.8686448686449
tdna033-Rep1-MiFish-U_S33_,92213,87838,95.2555496513507
