species,kingdom,phylum,order,family,genus,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids,in_range
Alosa alosa,Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa alosa,1,44,538,7332,2412615,2412685,NA,NA,Alosa alosa,n
Alosa fallax,Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa fallax,1,44,538,7332,2412615,2412623,NA,NA,Alosa fallax,n
Alosa sapidissima,Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,538,7332,2412615,2412661,NA,NA,Alosa sapidissima,y
Anoplopoma fimbria,Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,Anoplopoma fimbria,y
Atheresthes evermanni,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,1,44,588,8611,2409090,2409095,NA,NA,Atheresthes evermanni,n
Atheresthes stomias,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,1,44,588,8611,2409090,2409091,NA,NA,Atheresthes stomias,y
Beringraja binoculata,Animalia,Chordata,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,1,44,884,5877,7554168,7913005,Elasmobranchii,121,Beringraja binoculata,y
Cleisthenes herzensteini,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Cleisthenes,Cleisthenes herzensteini,1,44,588,8611,2409136,2409139,NA,NA,Cleisthenes herzensteini,n
Cleisthenes pinetorum,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Cleisthenes,Cleisthenes pinetorum,1,44,588,8611,2409136,2409137,NA,NA,Cleisthenes pinetorum,n
Clupea harengus,Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,Clupea harengus,n
Clupea pallasii,Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii,y
