ASV,level,LCT,class,order,family,genus,species,all_species
ASV137,species,Alosa sapidissima,NA,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima
ASV6,species,Anoplopoma fimbria,NA,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
ASV68,species,Anoplopoma fimbria,NA,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
ASV97,species,Anoplopoma fimbria,NA,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
ASV84,species,Atheresthes stomias,NA,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,Atheresthes stomias
ASV91,species,Beringraja binoculata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,Beringraja binoculata
ASV1,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV191,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV24,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV271,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV30,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV41,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV513,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV58,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV633,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV8,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV122,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV297,species,Clupea pallasii,NA,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
ASV62,species,Eopsetta jordani,NA,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani
ASV25,species,Gadus chalcogrammus,NA,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV33,species,Gadus chalcogrammus,NA,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV4,species,Gadus chalcogrammus,NA,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV72,species,Gadus chalcogrammus,NA,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
ASV162,species,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Galeorhinus galeus,Galeorhinus galeus
ASV11,species,Glyptocephalus zachirus,NA,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
ASV46,species,Glyptocephalus zachirus,NA,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
ASV286,species,Glyptocephalus zachirus,NA,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus
ASV67,species,Hexagrammos decagrammus,NA,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus
ASV262,species,Hippoglossoides elassodon,NA,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon
ASV70,species,Leptoclinus maculatus,NA,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus
ASV7,species,Merluccius productus,NA,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
ASV21,species,Merluccius productus,NA,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
ASV52,species,Microstomus pacificus,NA,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus
ASV20,species,Oncorhynchus gorbuscha,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
