species,kingdom,phylum,order,family,genus,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids,in_range
Ammodytes japonicus,Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,1,44,587,8487,2389989,8995137,NA,NA,Ammodytes japonicus,n
Clupea harengus,Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,Clupea harengus,n
Gadus morhua,Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,Gadus morhua,n
Glyptocephalus stelleri,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,Glyptocephalus stelleri,n
Lycodapus microchir,Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus microchir,1,44,587,5079,2380868,2380882,NA,NA,Lycodapus microchir,n
Pholis crassispina,Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis crassispina,1,44,587,8576,2390397,5210429,NA,NA,Pholis crassispina,n
Pholis picta,Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis picta,1,44,587,8576,2390397,5210418,NA,NA,Pholis picta,n
Salmo salar,Animalia,Chordata,Salmoniformes,Salmonidae,Salmo,Salmo salar,1,44,1313,8615,2347608,7595433,NA,NA,Salmo salar,n
Sebastiscus marmoratus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastiscus,Sebastiscus marmoratus,1,44,590,8633,2335354,2335355,NA,NA,Sebastiscus marmoratus,n
Sprattus sprattus,Animalia,Chordata,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,1,44,538,7332,2413443,2413452,NA,NA,Sprattus sprattus,n
Squalus acanthias,Animalia,Chordata,Squaliformes,Squalidae,Squalus,Squalus acanthias,1,44,883,5872,2420869,5216368,Elasmobranchii,121,Squalus acanthias,n
Alosa alosa,Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa alosa,1,44,538,7332,2412615,2412685,NA,NA,Alosa alosa,n
Alosa fallax,Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa fallax,1,44,538,7332,2412615,2412623,NA,NA,Alosa fallax,n
Cryptacanthodes aleutensis,Animalia,Chordata,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes aleutensis,1,44,587,4264,2387403,2387413,NA,NA,Cryptacanthodes aleutensis,y
Eumesogrammus praecisus,Animalia,Chordata,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus,1,44,587,8598,2394919,2394920,NA,NA,Eumesogrammus praecisus,n
Hyperoplus immaculatus,Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus immaculatus,1,44,587,8487,2390011,2390012,NA,NA,Hyperoplus immaculatus,n
Limanda proboscidea,Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Myzopsetta proboscidea,1,44,588,8611,5213949,5213962,NA,NA,Myzopsetta proboscidea,n
Oncorhynchus kawamurae,Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kawamurae,1,44,1313,8615,2351426,5961610,NA,NA,Oncorhynchus kawamurae,n
Pholis fasciata,Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis fasciata,1,44,587,8576,2390397,5210413,NA,NA,Pholis fasciata,n
Pseudobathylagus milleri,Animalia,Chordata,Osmeriformes,Bathylagidae,Pseudobathylagus,Pseudobathylagus milleri,1,44,1068,4223,2410962,2410963,NA,NA,Pseudobathylagus milleri,y
Sebastes aleutianus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes aleutianus,1,44,590,8633,2333712,2335422,NA,NA,Sebastes aleutianus,y
Sebastes alutus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,1,44,590,8633,2333712,2335557,NA,NA,Sebastes alutus,y
Sebastes babcocki,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes babcocki,1,44,590,8633,2333712,2335374,NA,NA,Sebastes babcocki,y
Sebastes baramenuke,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,1,44,590,8633,2333712,2335483,NA,NA,Sebastes baramenuke,n
Sebastes brevispinis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes brevispinis,1,44,590,8633,2333712,2335560,NA,NA,Sebastes brevispinis,y
Sebastes cheni,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,1,44,590,8633,2333712,4286373,NA,NA,Sebastes cheni,n
Sebastes ciliatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ciliatus,1,44,590,8633,2333712,2335476,NA,NA,Sebastes ciliatus,y
Sebastes constellatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes constellatus,1,44,590,8633,2333712,2335457,NA,NA,Sebastes constellatus,n
Sebastes elongatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes elongatus,1,44,590,8633,2333712,2335441,NA,NA,Sebastes elongatus,y
Sebastes emphaeus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes emphaeus,1,44,590,8633,2333712,2335372,NA,NA,Sebastes emphaeus,y
Sebastes eos,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes eos,1,44,590,8633,2333712,2335572,NA,NA,Sebastes eos,n
Sebastes exsul,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes exsul,1,44,590,8633,2333712,2335547,NA,NA,Sebastes exsul,n
Sebastes flavidus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,1,44,590,8633,2333712,2335500,NA,NA,Sebastes flavidus,y
Sebastes gilli,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes gilli,1,44,590,8633,2333712,2335555,NA,NA,Sebastes gilli,n
Sebastes goodei,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,1,44,590,8633,2333712,2335531,NA,NA,Sebastes goodei,y
Sebastes helvomaculatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes helvomaculatus,1,44,590,8633,2333712,2335394,NA,NA,Sebastes helvomaculatus,y
Sebastes hubbsi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes hubbsi,1,44,590,8633,2333712,2335535,NA,NA,Sebastes hubbsi,n
Sebastes joyneri,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,1,44,590,8633,2333712,2335451,NA,NA,Sebastes joyneri,n
Sebastes melanops,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,1,44,590,8633,2333712,2335569,NA,NA,Sebastes melanops,y
Sebastes melanosema,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanosema,1,44,590,8633,2333712,2335529,NA,NA,Sebastes melanosema,n
Sebastes melanostictus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostictus,1,44,590,8633,2333712,8416044,NA,NA,Sebastes melanostictus,y
Sebastes miniatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,1,44,590,8633,2333712,2335381,NA,NA,Sebastes miniatus,y
Sebastes ovalis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ovalis,1,44,590,8633,2333712,2335567,NA,NA,Sebastes ovalis,n
Sebastes pachycephalus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,NA,NA,Sebastes pachycephalus,n
Sebastes phillipsi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes phillipsi,1,44,590,8633,2333712,2335550,NA,NA,Sebastes phillipsi,n
Sebastes polyspinis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes polyspinis,1,44,590,8633,2333712,2335506,NA,NA,Sebastes polyspinis,y
Sebastes proriger,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes proriger,1,44,590,8633,2333712,2335489,NA,NA,Sebastes proriger,y
