kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,Gadus morhua
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,NA,NA,Gadus chalcogrammus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,Isopsetta isolepis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,Psettichthys melanostictus,1,44,588,8611,2408960,2409051,NA,NA,Psettichthys melanostictus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,Parophrys vetulus,1,44,588,8611,2409369,2409370,NA,NA,Parophrys vetulus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,NA,NA,Oncorhynchus nerka
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kawamurae,Oncorhynchus kawamurae,1,44,1313,8615,2351426,5961610,NA,NA,Oncorhynchus kawamurae
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus,1,44,549,3703,2415629,2415676,NA,NA,Merluccius productus
Animalia,Chordata,Osmeriformes,Bathylagidae,Bathylagus,Bathylagus pacificus,Bathylagus pacificus,1,44,1068,4223,2410966,2410970,NA,NA,Bathylagus pacificus
Animalia,Chordata,Osmeriformes,Bathylagidae,Pseudobathylagus,Pseudobathylagus milleri,Pseudobathylagus milleri,1,44,1068,4223,2410962,2410963,NA,NA,Pseudobathylagus milleri
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,Oncorhynchus keta
Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus microchir,Lycodapus microchir,1,44,587,5079,2380868,2380882,NA,NA,Lycodapus microchir
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,NA,NA,Oncorhynchus tshawytscha
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rubrivinctus,Sebastes rubrivinctus,1,44,590,8633,2333712,2335388,NA,NA,Sebastes rubrivinctus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,Sebastes alutus,1,44,590,8633,2333712,2335557,NA,NA,Sebastes alutus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,Sebastes flavidus,1,44,590,8633,2333712,2335500,NA,NA,Sebastes flavidus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes hubbsi,Sebastes hubbsi,1,44,590,8633,2333712,2335535,NA,NA,Sebastes hubbsi
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes zacentrus,Sebastes zacentrus,1,44,590,8633,2333712,2335429,NA,NA,Sebastes zacentrus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,Sebastes cheni,1,44,590,8633,2333712,4286373,NA,NA,Sebastes cheni
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes aleutianus,Sebastes aleutianus,1,44,590,8633,2333712,2335422,NA,NA,Sebastes aleutianus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes proriger,Sebastes proriger,1,44,590,8633,2333712,2335489,NA,NA,Sebastes proriger
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,Sebastes joyneri,1,44,590,8633,2333712,2335451,NA,NA,Sebastes joyneri
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,Sebastes miniatus,1,44,590,8633,2333712,2335381,NA,NA,Sebastes miniatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes wilsoni,Sebastes wilsoni,1,44,590,8633,2333712,2335485,NA,NA,Sebastes wilsoni
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostictus,Sebastes melanostictus,1,44,590,8633,2333712,8416044,NA,NA,Sebastes melanostictus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,Sebastes goodei,1,44,590,8633,2333712,2335531,NA,NA,Sebastes goodei
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes constellatus,Sebastes constellatus,1,44,590,8633,2333712,2335457,NA,NA,Sebastes constellatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,NA,NA,Sebastes pachycephalus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes elongatus,Sebastes elongatus,1,44,590,8633,2333712,2335441,NA,NA,Sebastes elongatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variegatus,Sebastes variegatus,1,44,590,8633,2333712,2335412,NA,NA,Sebastes variegatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes exsul,Sebastes exsul,1,44,590,8633,2333712,2335547,NA,NA,Sebastes exsul
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes eos,Sebastes eos,1,44,590,8633,2333712,2335572,NA,NA,Sebastes eos
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,Sebastes baramenuke,1,44,590,8633,2333712,2335483,NA,NA,Sebastes baramenuke
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes phillipsi,Sebastes phillipsi,1,44,590,8633,2333712,2335550,NA,NA,Sebastes phillipsi
