kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,ids
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,Clupea pallasii
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,1,44,549,3701,2335052,2415769,Gadus chalcogrammus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,Oncorhynchus keta
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,Oncorhynchus tshawytscha
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,1,44,549,3701,2335052,8084280,Gadus morhua
Animalia,Chordata,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,1,44,1068,8480,2410902,2410903,Thaleichthys pacificus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,Glyptocephalus zachirus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda proboscidea,1,44,588,8611,5213949,5213962,Myzopsetta proboscidea
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,Glyptocephalus stelleri
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,1,44,590,8633,2333712,2335366,Sebastes mystinus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variabilis,1,44,590,8633,2333712,2335481,Sebastes variabilis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ciliatus,1,44,590,8633,2333712,2335476,Sebastes ciliatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,1,44,590,8633,2333712,2335443,Sebastes crameri
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes polyspinis,1,44,590,8633,2333712,2335506,Sebastes polyspinis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes reedi,1,44,590,8633,2333712,2335448,Sebastes reedi
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa fallax,1,44,538,7332,2412615,2412623,Alosa fallax
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,538,7332,2412615,2412661,Alosa sapidissima
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa alosa,1,44,538,7332,2412615,2412685,Alosa alosa
