sample_name,query,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,LCT,species_read_raw,species_read_index,species_pa
E001,ASV1,NA,107767,NA,NA,Clupeiformes,29304,0.3444877325065965,1,Clupeidae,29304,0.3444877325065965,1,Clupea,29304,0.3444877325065965,1,Clupea pallasii,29304,0.3444877325065965,1
E001,ASV10,NA,107767,NA,NA,Gadiformes,19554,0.22355435449270533,1,Gadidae,15662,0.1790584177183569,1,Gadus,15662,0.1790584177183569,1,Gadus chalcogrammus,15662,0.1790584177183569,1
E001,ASV100,NA,107767,NA,NA,Pleuronectiformes,0,0,0,Pleuronectidae,0,0,0,Pleuronectidae2,0,0,0,Pleuronectidae2,0,0,0
E001,ASV101,NA,107767,NA,NA,Salmoniformes,56444,0.5542482667929299,1,Salmonidae,56444,0.5542482667929299,1,Oncorhynchus,56444,0.5542482667929299,1,Oncorhynchus nerka,47309,0.464547715500438,1
E001,ASV102,NA,107767,NA,NA,Gadiformes,19554,0.22355435449270533,1,Gadidae,15662,0.1790584177183569,1,Gadus,15662,0.1790584177183569,1,Gadus chalcogrammus,15662,0.1790584177183569,1
E001,ASV104,NA,107767,NA,NA,Clupeiformes,29304,0.3444877325065965,1,Clupeidae,29304,0.3444877325065965,1,Clupea,29304,0.3444877325065965,1,Clupea pallasii,29304,0.3444877325065965,1
E001,ASV106,NA,107767,NA,NA,Salmoniformes,56444,0.5542482667929299,1,Salmonidae,56444,0.5542482667929299,1,Oncorhynchus,56444,0.5542482667929299,1,Oncorhynchus nerka,47309,0.464547715500438,1
E001,ASV11,NA,107767,NA,NA,Gadiformes,19554,0.22355435449270533,1,Gadidae,15662,0.1790584177183569,1,Gadus,15662,0.1790584177183569,1,Gadus chalcogrammus,15662,0.1790584177183569,1
E001,ASV113,NA,107767,NA,NA,Clupeiformes,29304,0.3444877325065965,1,Clupeidae,29304,0.3444877325065965,1,Clupea,29304,0.3444877325065965,1,Clupea pallasii,29304,0.3444877325065965,1
E001,ASV114,NA,107767,NA,NA,Gadiformes,19554,0.22355435449270533,1,Merlucciidae,3892,0.20154074967357238,1,Merluccius,3892,0.20154074967357238,1,Merluccius productus,3892,0.20154074967357238,1
E001,ASV116,NA,107767,NA,NA,Clupeiformes,29304,0.3444877325065965,1,Clupeidae,29304,0.3444877325065965,1,Clupea,29304,0.3444877325065965,1,Clupea pallasii,29304,0.3444877325065965,1
E001,ASV119,NA,107767,NA,NA,Osmeriformes,0,0,0,Bathylagidae,0,0,0,Bathylagidae1,0,0,0,Bathylagidae1,0,0,0
E001,ASV12,NA,107767,NA,NA,Salmoniformes,56444,0.5542482667929299,1,Salmonidae,56444,0.5542482667929299,1,Oncorhynchus,56444,0.5542482667929299,1,Oncorhynchus keta,0,0,0
E001,ASV121,NA,107767,NA,NA,Gadiformes,19554,0.22355435449270533,1,Gadidae,15662,0.1790584177183569,1,Gadus,15662,0.1790584177183569,1,Gadus chalcogrammus,15662,0.1790584177183569,1
E001,ASV129,NA,107767,NA,NA,Clupeiformes,29304,0.3444877325065965,1,Clupeidae,29304,0.3444877325065965,1,Clupea,29304,0.3444877325065965,1,Clupea pallasii,29304,0.3444877325065965,1
E001,ASV13,NA,107767,NA,NA,Salmoniformes,56444,0.5542482667929299,1,Salmonidae,56444,0.5542482667929299,1,Oncorhynchus,56444,0.5542482667929299,1,Oncorhynchus tshawytscha,5015,0.1507917606721548,1
