set_number,LCT,set_read_index,original_sample_name,query,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species_read_raw,species_read_index,pabs_eDNA,sample_name,lat,lon,date,time_of_sample,time_of_filter,type,depth_eDNA,area,volume_l,notes1,notes2,site,north_south,marker,unique_id
1,Clupea pallasii,29.277242949172926,E001,ASV1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep2
1,Clupea pallasii,29.277242949172926,E001,ASV1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep1
1,Clupea pallasii,29.277242949172926,E001,ASV1,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep3
1,Clupea pallasii,29.277242949172926,E002,ASV58,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep1
1,Clupea pallasii,29.277242949172926,E002,ASV58,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep3
1,Clupea pallasii,29.277242949172926,E002,ASV633,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep2
1,Clupea pallasii,29.277242949172926,E001,ASV122,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep2
1,Clupea pallasii,29.277242949172926,E001,ASV122,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep1
1,Clupea pallasii,29.277242949172926,E001,ASV122,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep3
1,Clupea pallasii,29.277242949172926,E002,ASV136,Clupeiformes,63128,0.5000237623762376,1,Clupeidae,63128,0.5000237623762376,1,Clupea,63128,0.5000237623762376,1,63128,0.5000237623762376,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep1
1,Clupea pallasii,29.277242949172926,E002,ASV191,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep2
1,Clupea pallasii,29.277242949172926,E002,ASV8,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep2
1,Clupea pallasii,29.277242949172926,E002,ASV8,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep1
1,Clupea pallasii,29.277242949172926,E002,ASV8,Clupeiformes,9892,0.4181956540120064,1,Clupeidae,9892,0.4181956540120064,1,Clupea,9892,0.4181956540120064,1,9892,0.4181956540120064,1,tdna002,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,0.95,,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna002_Rep3
1,Clupea pallasii,29.277242949172926,E001,ASV1,Clupeiformes,20065,0.25455767986501404,1,Clupeidae,20065,0.25455767986501404,1,Clupea,20065,0.25455767986501404,1,20065,0.25455767986501404,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep1
1,Clupea pallasii,29.277242949172926,E001,ASV191,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep2
1,Clupea pallasii,29.277242949172926,E001,ASV191,Clupeiformes,256,0.01777037345550465,1,Clupeidae,256,0.01777037345550465,1,Clupea,256,0.01777037345550465,1,256,0.01777037345550465,1,tdna001,50 32.200,126 43.868,2018.08.01,11:20:00 AM,1:20:00 PM,trawl,50,JS,1,All trawl sample lat and longs provided by Mei.,Cube container and funnel used on deck.,50_JS_1,N,MiFish,tdna001_Rep1
