row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
Neg1-MiFish-E_S341_L001_R1_001.fastq.gz	216	153	125	104	58	58	58	0	0	26.8518518518519
Neg2-MiFish-E_S342_L001_R1_001.fastq.gz	325	195	152	107	91	91	91	0	0	28
Neg3-MiFish-E_S343_L001_R1_001.fastq.gz	265	192	166	153	138	138	138	0	0	52.0754716981132
tdna001-Rep1-MiFish-E_S173_L001_R1_001.fastq.gz	48001	44747	44636	44232	43512	43416	40793	0.220628792057369	6.0415515017505	84.983646174038
tdna001-Rep2-MiFish-E_S229_L001_R1_001.fastq.gz	93007	87736	87644	87116	84594	84518	84239	0.0898408870605465	0.330107196100244	90.5727525885148
tdna001-Rep3-MiFish-E_S285_L001_R1_001.fastq.gz	9381	8918	8881	8855	8820	8803	8787	0.192743764172334	0.181756219470628	93.6680524464343
tdna002-Rep1-MiFish-E_S174_L001_R1_001.fastq.gz	42830	39874	39739	39209	38837	38807	38807	0.0772459252774524	0	90.6070511323838
tdna002-Rep2-MiFish-E_S230_L001_R1_001.fastq.gz	68034	64382	64213	63111	62229	62206	57449	0.0369602596859977	7.64717229849211	84.4416027280477
tdna002-Rep3-MiFish-E_S286_L001_R1_001.fastq.gz	20392	19123	19056	18859	18390	18378	18156	0.0652528548123996	1.20796604635977	89.0349156531973
tdna003-Rep1-MiFish-E_S175_L001_R1_001.fastq.gz	24047	22595	22522	22266	21936	21928	21840	0.0364697301239971	0.40131338927398	90.8221399758806
tdna003-Rep2-MiFish-E_S231_L001_R1_001.fastq.gz	55640	53041	52977	52230	51790	51790	51463	0	0.63139602239815	92.4928109273904
tdna003-Rep3-MiFish-E_S287_L001_R1_001.fastq.gz	23401	21994	21934	21623	21300	21280	21273	0.0938967136150239	0.0328947368421098	90.9063715225845
tdna004-Rep1-MiFish-E_S176_L001_R1_001.fastq.gz	68940	64354	64233	63150	62565	62565	62565	0	0	90.7528285465622
tdna004-Rep2-MiFish-E_S232_L001_R1_001.fastq.gz	30517	28564	28297	28016	27721	27721	25052	0	9.62807979510119	82.0919487498771
tdna004-Rep3-MiFish-E_S288_L001_R1_001.fastq.gz	51200	48413	48312	47998	47387	47387	45922	0	3.09156519720598	89.69140625
tdna005-Rep1-MiFish-E_S177_L001_R1_001.fastq.gz	7384	6589	6510	6285	6243	6243	6243	0	0	84.5476706392199
tdna005-Rep2-MiFish-E_S233_L001_R1_001.fastq.gz	11138	10508	10465	10289	10240	10231	10200	0.087890625	0.303000684195098	91.5783803196265
tdna005-Rep3-MiFish-E_S289_L001_R1_001.fastq.gz	3087	2857	2797	2763	2658	2658	2658	0	0	86.1030126336249
tdna006-Rep1-MiFish-E_S178_L001_R1_001.fastq.gz	27038	24545	24445	24039	23681	23643	23643	0.160466196528859	0	87.4435978992529
tdna006-Rep2-MiFish-E_S234_L001_R1_001.fastq.gz	28339	26262	26208	25919	25424	25412	24952	0.0471994965387097	1.81016842436644	88.0482726984015
tdna006-Rep3-MiFish-E_S290_L001_R1_001.fastq.gz	24878	23353	23306	22920	22738	22698	22698	0.175916967191483	0	91.237237720074
tdna007-Rep1-MiFish-E_S179_L001_R1_001.fastq.gz	4278	3766	3683	3586	3536	3530	3074	0.16968325791855	12.9178470254958	71.8560074801309
tdna007-Rep2-MiFish-E_S235_L001_R1_001.fastq.gz	11172	10495	10400	10286	10097	10089	8729	0.0792314548875908	13.4800277529983	78.1328320802005
tdna007-Rep3-MiFish-E_S291_L001_R1_001.fastq.gz	28445	27210	27152	26850	26528	26505	26212	0.0867008443908333	1.10545180154688	92.1497626999473
tdna008-Rep1-MiFish-E_S180_L001_R1_001.fastq.gz	10889	9720	9514	9261	9175	9156	9156	0.20708446866486	0	84.0848562769768
tdna008-Rep2-MiFish-E_S236_L001_R1_001.fastq.gz	21462	20107	20024	19664	18775	18759	18196	0.0852197070572629	3.00122607814916	84.7824061131302
tdna008-Rep3-MiFish-E_S292_L001_R1_001.fastq.gz	15169	14261	14191	14054	13689	13674	13432	0.109577032653945	1.76978206815855	88.5490144373393
tdna009-Rep1-MiFish-E_S181_L001_R1_001.fastq.gz	3437	2820	2786	2620	2596	2596	2572	0	0.924499229583972	74.8327029386093
tdna009-Rep2-MiFish-E_S237_L001_R1_001.fastq.gz	2066	1164	1088	912	863	863	863	0	0	41.7715392061955
tdna009-Rep3-MiFish-E_S293_L001_R1_001.fastq.gz	1187	1067	1038	998	976	976	965	0	1.12704918032787	81.2973883740522
tdna010-Rep1-MiFish-E_S182_L001_R1_001.fastq.gz	18420	16565	16465	16151	15946	15939	15837	0.0438981562774359	0.639939770374554	85.9771986970684
tdna010-Rep2-MiFish-E_S238_L001_R1_001.fastq.gz	37011	33649	33511	32896	32113	32082	30644	0.096534113910252	4.48226419799265	82.7970062954257
tdna010-Rep3-MiFish-E_S294_L001_R1_001.fastq.gz	10152	9354	9307	9204	8997	8979	8979	0.2000666888963	0	88.4456264775414
tdna011-Rep1-MiFish-E_S183_L001_R1_001.fastq.gz	21183	19945	19868	19339	18865	18846	18689	0.100715610919693	0.833068025045108	88.2264079686541
tdna011-Rep2-MiFish-E_S239_L001_R1_001.fastq.gz	9979	9077	9022	8849	8506	8506	8122	0	4.51446038090759	81.3909209339613
tdna011-Rep3-MiFish-E_S295_L001_R1_001.fastq.gz	17009	15940	15882	15735	15566	15542	8264	0.154182191956835	46.827950070776	48.5860426832853
tdna012-Rep1-MiFish-E_S184_L001_R1_001.fastq.gz	75301	70620	70566	70197	69716	69692	68686	0.0344253829823771	1.44349423176261	91.2152561054966
tdna012-Rep2-MiFish-E_S240_L001_R1_001.fastq.gz	89156	82643	82564	82022	78909	78909	76660	0	2.85011849091991	85.9841177262327
tdna012-Rep3-MiFish-E_S296_L001_R1_001.fastq.gz	86540	82307	82262	81999	80294	80206	77780	0.109597230179091	3.02471136822682	89.8775132886527
tdna013-Rep1-MiFish-E_S185_L001_R1_001.fastq.gz	9806	9001	8956	8795	8730	8723	8723	0.0801832760595573	0	88.9557413828268
tdna013-Rep2-MiFish-E_S241_L001_R1_001.fastq.gz	33651	31183	31103	30694	30145	30138	29586	0.0232210980261982	1.83157475612184	87.9201212445395
tdna013-Rep3-MiFish-E_S297_L001_R1_001.fastq.gz	35725	33970	33918	33690	33449	33411	32770	0.11360578791593	1.91852982550657	91.7284814555633
tdna014-Rep1-MiFish-E_S186_L001_R1_001.fastq.gz	38865	35795	35667	35209	34982	34948	32741	0.0971928420330386	6.31509671511961	84.2428920622668
tdna014-Rep2-MiFish-E_S242_L001_R1_001.fastq.gz	27026	24246	24167	23796	23702	23674	23263	0.118133490844656	1.73608177747741	86.0763709020943
tdna014-Rep3-MiFish-E_S298_L001_R1_001.fastq.gz	48826	46064	46020	45220	44156	44133	42797	0.0520880514539357	3.02721319647429	87.6520706181133
tdna015-Rep1-MiFish-E_S187_L001_R1_001.fastq.gz	16824	15526	15430	15273	14949	14941	14941	0.0535152853033622	0	88.8076557299097
tdna015-Rep2-MiFish-E_S243_L001_R1_001.fastq.gz	8729	7940	7884	7682	7521	7521	7521	0	0	86.1610722877764
tdna015-Rep3-MiFish-E_S299_L001_R1_001.fastq.gz	8611	8192	8096	8062	7765	7765	7765	0	0	90.175357101382
