sample,input,filtered,denoisedF,denoisedR,merged,nosingletons,nochimeras,percent_singletons,percent_chimeras,percent_retained_of_total
Neg1-MiFish-E_S341_L001_R1_001.fastq.gz,216,153,125,104,58,58,58,0,0,26.85185185
Neg2-MiFish-E_S342_L001_R1_001.fastq.gz,325,195,152,107,91,91,91,0,0,28
Neg3-MiFish-E_S343_L001_R1_001.fastq.gz,265,192,166,153,138,138,138,0,0,52.0754717
tdna001-Rep1-MiFish-E_S173_L001_R1_001.fastq.gz,48001,44747,44636,44232,43512,43416,40793,0.220628792,6.041551502,84.98364617
tdna001-Rep2-MiFish-E_S229_L001_R1_001.fastq.gz,93007,87736,87644,87116,84594,84518,84239,0.089840887,0.330107196,90.57275259
tdna001-Rep3-MiFish-E_S285_L001_R1_001.fastq.gz,9381,8918,8881,8855,8820,8803,8787,0.192743764,0.181756219,93.66805245
tdna002-Rep1-MiFish-E_S174_L001_R1_001.fastq.gz,42830,39874,39739,39209,38837,38807,38807,0.077245925,0,90.60705113
tdna002-Rep2-MiFish-E_S230_L001_R1_001.fastq.gz,68034,64382,64213,63111,62229,62206,57449,0.03696026,7.6471722984921104,84.44160273
tdna002-Rep3-MiFish-E_S286_L001_R1_001.fastq.gz,20392,19123,19056,18859,18390,18378,18156,0.065252855,1.207966046,89.03491565
tdna003-Rep1-MiFish-E_S175_L001_R1_001.fastq.gz,24047,22595,22522,22266,21936,21928,21840,0.03646973,0.401313389,90.82213998
tdna003-Rep2-MiFish-E_S231_L001_R1_001.fastq.gz,55640,53041,52977,52230,51790,51790,51463,0,0.631396022,92.49281093
tdna003-Rep3-MiFish-E_S287_L001_R1_001.fastq.gz,23401,21994,21934,21623,21300,21280,21273,0.093896714,0.032894737,90.90637152
tdna004-Rep1-MiFish-E_S176_L001_R1_001.fastq.gz,68940,64354,64233,63150,62565,62565,62565,0,0,90.75282855
tdna004-Rep2-MiFish-E_S232_L001_R1_001.fastq.gz,30517,28564,28297,28016,27721,27721,25052,0,9.628079795,82.09194875
tdna004-Rep3-MiFish-E_S288_L001_R1_001.fastq.gz,51200,48413,48312,47998,47387,47387,45922,0,3.091565197,89.69140625
tdna005-Rep1-MiFish-E_S177_L001_R1_001.fastq.gz,7384,6589,6510,6285,6243,6243,6243,0,0,84.54767064
tdna005-Rep2-MiFish-E_S233_L001_R1_001.fastq.gz,11138,10508,10465,10289,10240,10231,10200,0.087890625,0.303000684,91.57838032
tdna005-Rep3-MiFish-E_S289_L001_R1_001.fastq.gz,3087,2857,2797,2763,2658,2658,2658,0,0,86.10301263
tdna006-Rep1-MiFish-E_S178_L001_R1_001.fastq.gz,27038,24545,24445,24039,23681,23643,23643,0.160466197,0,87.4435979
tdna006-Rep2-MiFish-E_S234_L001_R1_001.fastq.gz,28339,26262,26208,25919,25424,25412,24952,0.047199497,1.810168424,88.0482727
tdna006-Rep3-MiFish-E_S290_L001_R1_001.fastq.gz,24878,23353,23306,22920,22738,22698,22698,0.175916967,0,91.23723772
tdna007-Rep1-MiFish-E_S179_L001_R1_001.fastq.gz,4278,3766,3683,3586,3536,3530,3074,0.169683258,12.91784703,71.85600748
tdna007-Rep2-MiFish-E_S235_L001_R1_001.fastq.gz,11172,10495,10400,10286,10097,10089,8729,0.079231455,13.48002775,78.13283208
tdna007-Rep3-MiFish-E_S291_L001_R1_001.fastq.gz,28445,27210,27152,26850,26528,26505,26212,0.086700844,1.105451802,92.1497627
tdna008-Rep1-MiFish-E_S180_L001_R1_001.fastq.gz,10889,9720,9514,9261,9175,9156,9156,0.207084469,0,84.08485628
tdna008-Rep2-MiFish-E_S236_L001_R1_001.fastq.gz,21462,20107,20024,19664,18775,18759,18196,0.085219707,3.001226078,84.78240611
tdna008-Rep3-MiFish-E_S292_L001_R1_001.fastq.gz,15169,14261,14191,14054,13689,13674,13432,0.109577033,1.769782068,88.54901444
tdna009-Rep1-MiFish-E_S181_L001_R1_001.fastq.gz,3437,2820,2786,2620,2596,2596,2572,0,0.92449923,74.83270294
tdna009-Rep2-MiFish-E_S237_L001_R1_001.fastq.gz,2066,1164,1088,912,863,863,863,0,0,41.77153921
tdna009-Rep3-MiFish-E_S293_L001_R1_001.fastq.gz,1187,1067,1038,998,976,976,965,0,1.12704918,81.29738837
