reads.in	reads.out	percentage_retained
Neg1-MiFish-E_S341_L001_R1_001.fastq.gz	216	153	70.8333333333333
Neg2-MiFish-E_S342_L001_R1_001.fastq.gz	325	195	60
Neg3-MiFish-E_S343_L001_R1_001.fastq.gz	265	192	72.4528301886792
tdna001-Rep1-MiFish-E_S173_L001_R1_001.fastq.gz	48001	44747	93.2209745630299
tdna001-Rep2-MiFish-E_S229_L001_R1_001.fastq.gz	93007	87736	94.3326846366403
tdna001-Rep3-MiFish-E_S285_L001_R1_001.fastq.gz	9381	8918	95.064492058416
tdna002-Rep1-MiFish-E_S174_L001_R1_001.fastq.gz	42830	39874	93.0982955872052
tdna002-Rep2-MiFish-E_S230_L001_R1_001.fastq.gz	68034	64382	94.6320957168475
tdna002-Rep3-MiFish-E_S286_L001_R1_001.fastq.gz	20392	19123	93.7769713613182
tdna003-Rep1-MiFish-E_S175_L001_R1_001.fastq.gz	24047	22595	93.9618247598453
tdna003-Rep2-MiFish-E_S231_L001_R1_001.fastq.gz	55640	53041	95.3289000718907
tdna003-Rep3-MiFish-E_S287_L001_R1_001.fastq.gz	23401	21994	93.9874364343404
tdna004-Rep1-MiFish-E_S176_L001_R1_001.fastq.gz	68940	64354	93.3478387003191
tdna004-Rep2-MiFish-E_S232_L001_R1_001.fastq.gz	30517	28564	93.6002883638628
tdna004-Rep3-MiFish-E_S288_L001_R1_001.fastq.gz	51200	48413	94.556640625
tdna005-Rep1-MiFish-E_S177_L001_R1_001.fastq.gz	7384	6589	89.2334777898158
tdna005-Rep2-MiFish-E_S233_L001_R1_001.fastq.gz	11138	10508	94.343688274376
tdna005-Rep3-MiFish-E_S289_L001_R1_001.fastq.gz	3087	2857	92.549400712666
tdna006-Rep1-MiFish-E_S178_L001_R1_001.fastq.gz	27038	24545	90.7796434647533
tdna006-Rep2-MiFish-E_S234_L001_R1_001.fastq.gz	28339	26262	92.6708775891881
tdna006-Rep3-MiFish-E_S290_L001_R1_001.fastq.gz	24878	23353	93.8700860197765
tdna007-Rep1-MiFish-E_S179_L001_R1_001.fastq.gz	4278	3766	88.0317905563347
tdna007-Rep2-MiFish-E_S235_L001_R1_001.fastq.gz	11172	10495	93.9402076620122
tdna007-Rep3-MiFish-E_S291_L001_R1_001.fastq.gz	28445	27210	95.658287924064
tdna008-Rep1-MiFish-E_S180_L001_R1_001.fastq.gz	10889	9720	89.2643952612728
