sample,input,filtered,denoisedF,denoisedR,merged,nosingletons,nochimeras,percent_singletons,percent_chimeras,percent_retained_of_total
NEG-1_S169_L001_R1_001.fastq.gz,215,122,105,85,79,79,77,0,2.53164557,35.81395349
NEG-2_S170_L001_R1_001.fastq.gz,348,186,146,110,105,105,105,0,0,30.17241379
NEG-3_S171_L001_R1_001.fastq.gz,385,200,160,104,97,97,97,0,0,25.19480519
NEG-4_S172_L001_R1_001.fastq.gz,217,129,106,89,84,84,36,0,57.14285714,16.58986175
tdna001-Rep1-MiFish-U_S1_L001_R1_001.fastq.gz,77195,72904,72785,72167,71799,71717,59321,0.114207719,17.28460477,76.84565063
tdna001-Rep2-MiFish-U_S57_L001_R1_001.fastq.gz,66641,62589,62458,61752,60669,60551,46174,0.194498014,23.74362108,69.28767576
tdna001-Rep3-MiFish-U_S113_L001_R1_001.fastq.gz,48674,46360,46299,45996,45504,45467,39761,0.081311533,12.54976137,81.68837572
tdna002-Rep1-MiFish-U_S2_L001_R1_001.fastq.gz,62403,58461,58252,57596,56535,56468,48816,0.118510657,13.55103776,78.22700832
tdna002-Rep2-MiFish-U_S58_L001_R1_001.fastq.gz,86037,81278,81068,80212,78909,78865,68142,0.055760433,13.59665251,79.20080895
tdna002-Rep3-MiFish-U_S114_L001_R1_001.fastq.gz,97616,92171,92041,91237,89828,89666,81851,0.180344659,8.715678183,83.84998361
tdna003-Rep1-MiFish-U_S3_L001_R1_001.fastq.gz,73983,70066,69758,69714,68565,68558,61546,0.01020929,10.22783628,83.18938134
tdna003-Rep2-MiFish-U_S59_L001_R1_001.fastq.gz,80129,76603,76489,76293,73306,73300,58891,0.008184869,19.65757162,73.49523893
tdna003-Rep3-MiFish-U_S115_L001_R1_001.fastq.gz,69983,65116,65031,64874,64492,64478,59079,0.021708119,8.373398679,84.4190732
tdna004-Rep1-MiFish-U_S4_L001_R1_001.fastq.gz,65333,61334,61239,59993,59530,59466,50038,0.107508819,15.85443783,76.58916627
tdna004-Rep2-MiFish-U_S60_L001_R1_001.fastq.gz,84768,80147,80043,78777,78322,78141,64632,0.231097265,17.28797942,76.24575311
tdna004-Rep3-MiFish-U_S116_L001_R1_001.fastq.gz,41944,40198,40173,40074,38929,38918,34185,0.02825657,12.1614677,81.50152584
tdna005-Rep1-MiFish-U_S5_L001_R1_001.fastq.gz,65891,62604,62023,62065,58176,58176,48355,0,16.8815319,73.38635018
tdna005-Rep2-MiFish-U_S61_L001_R1_001.fastq.gz,44713,42753,42145,42506,41038,41036,35754,0.004873532,12.87162491,79.96332163
tdna005-Rep3-MiFish-U_S117_L001_R1_001.fastq.gz,27889,26464,26414,26128,25793,25793,24381,0,5.474353507,87.42156406
tdna006-Rep1-MiFish-U_S6_L001_R1_001.fastq.gz,1782,1108,1062,902,823,823,823,0,0,46.18406285
tdna006-Rep2-MiFish-U_S62_L001_R1_001.fastq.gz,72617,67915,67685,67010,65721,65661,56200,0.09129502,14.40885762,77.39234614
tdna006-Rep3-MiFish-U_S118_L001_R1_001.fastq.gz,45856,43664,43613,43411,43071,43061,37661,0.023217478,12.54034974,82.1288381
tdna007-Rep1-MiFish-U_S7_L001_R1_001.fastq.gz,84916,80428,80245,80097,78428,78409,66185,0.024226042,15.59004706,77.94173065
tdna007-Rep2-MiFish-U_S63_L001_R1_001.fastq.gz,74412,70769,70686,70125,69556,69396,61154,0.230030479,11.87676523,82.18298124
tdna007-Rep3-MiFish-U_S119_L001_R1_001.fastq.gz,18968,18148,18107,17945,17877,17866,14348,0.061531577,19.69103325,75.64318853
tdna008-Rep1-MiFish-U_S8_L001_R1_001.fastq.gz,44815,42130,42068,41677,40968,40928,40812,0.09763718,0.28342455,91.06772286
