row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
NEG-1_S169_L001_R1_001.fastq.gz	215	122	105	85	79	79	77	0	2.53164556962025	35.8139534883721
NEG-2_S170_L001_R1_001.fastq.gz	348	186	146	110	105	105	105	0	0	30.1724137931034
NEG-3_S171_L001_R1_001.fastq.gz	385	200	160	104	97	97	97	0	0	25.1948051948052
NEG-4_S172_L001_R1_001.fastq.gz	217	129	106	89	84	84	36	0	57.1428571428571	16.5898617511521
tdna001-Rep1-MiFish-U_S1_L001_R1_001.fastq.gz	77195	72904	72785	72167	71799	71717	59321	0.114207718770459	17.2846047659551	76.8456506250405
tdna001-Rep2-MiFish-U_S57_L001_R1_001.fastq.gz	66641	62589	62458	61752	60669	60551	46174	0.194498013812662	23.743621079751	69.2876757551657
tdna001-Rep3-MiFish-U_S113_L001_R1_001.fastq.gz	48674	46360	46299	45996	45504	45467	39761	0.0813115330520446	12.5497613653859	81.6883757242059
tdna002-Rep1-MiFish-U_S2_L001_R1_001.fastq.gz	62403	58461	58252	57596	56535	56468	48816	0.118510657115053	13.5510377558971	78.2270083169078
tdna002-Rep2-MiFish-U_S58_L001_R1_001.fastq.gz	86037	81278	81068	80212	78909	78865	68142	0.0557604329037247	13.5966525074494	79.2008089542871
tdna002-Rep3-MiFish-U_S114_L001_R1_001.fastq.gz	97616	92171	92041	91237	89828	89666	81851	0.180344658681037	8.71567818348092	83.8499836092444
tdna003-Rep1-MiFish-U_S3_L001_R1_001.fastq.gz	73983	70066	69758	69714	68565	68558	61546	0.0102092904543127	10.2278362846057	83.1893813443629
tdna003-Rep2-MiFish-U_S59_L001_R1_001.fastq.gz	80129	76603	76489	76293	73306	73300	58891	0.00818486890568693	19.6575716234652	73.4952389272298
tdna003-Rep3-MiFish-U_S115_L001_R1_001.fastq.gz	69983	65116	65031	64874	64492	64478	59079	0.0217081188364432	8.37339867861905	84.4190732034923
tdna004-Rep1-MiFish-U_S4_L001_R1_001.fastq.gz	65333	61334	61239	59993	59530	59466	50038	0.10750881908281	15.8544378300205	76.5891662712565
tdna004-Rep2-MiFish-U_S60_L001_R1_001.fastq.gz	84768	80147	80043	78777	78322	78141	64632	0.231097265136242	17.2879794218144	76.2457531143828
tdna004-Rep3-MiFish-U_S116_L001_R1_001.fastq.gz	41944	40198	40173	40074	38929	38918	34185	0.0282565696524415	12.1614677013207	81.5015258439824
tdna005-Rep1-MiFish-U_S5_L001_R1_001.fastq.gz	65891	62604	62023	62065	58176	58176	48355	0	16.8815319031903	73.3863501843954
tdna005-Rep2-MiFish-U_S61_L001_R1_001.fastq.gz	44713	42753	42145	42506	41038	41036	35754	0.00487353184853134	12.871624914709	79.9633216290564
tdna005-Rep3-MiFish-U_S117_L001_R1_001.fastq.gz	27889	26464	26414	26128	25793	25793	24381	0	5.47435350676541	87.4215640575137
tdna006-Rep1-MiFish-U_S6_L001_R1_001.fastq.gz	1782	1108	1062	902	823	823	823	0	0	46.1840628507295
tdna006-Rep2-MiFish-U_S62_L001_R1_001.fastq.gz	72617	67915	67685	67010	65721	65661	56200	0.0912950198566591	14.4088576171548	77.3923461448421
tdna006-Rep3-MiFish-U_S118_L001_R1_001.fastq.gz	45856	43664	43613	43411	43071	43061	37661	0.0232174781175303	12.5403497364204	82.1288381018842
tdna007-Rep1-MiFish-U_S7_L001_R1_001.fastq.gz	84916	80428	80245	80097	78428	78409	66185	0.0242260417197997	15.5900470609241	77.9417306514673
tdna007-Rep2-MiFish-U_S63_L001_R1_001.fastq.gz	74412	70769	70686	70125	69556	69396	61154	0.230030479038462	11.8767652314255	82.182981239585
tdna007-Rep3-MiFish-U_S119_L001_R1_001.fastq.gz	18968	18148	18107	17945	17877	17866	14348	0.0615315768864946	19.6910332475092	75.6431885280472
tdna008-Rep1-MiFish-U_S8_L001_R1_001.fastq.gz	44815	42130	42068	41677	40968	40928	40812	0.0976371802382232	0.283424550430027	91.0677228606493
tdna008-Rep2-MiFish-U_S64_L001_R1_001.fastq.gz	66608	62804	62692	61587	61010	60966	55673	0.0721193247008642	8.68188826559066	83.5830530867163
tdna008-Rep3-MiFish-U_S120_L001_R1_001.fastq.gz	9115	8483	8265	8328	8134	8134	7994	0	1.72117039586919	87.7015907844213
tdna009-Rep1-MiFish-U_S9_L001_R1_001.fastq.gz	1083	638	598	495	465	465	465	0	0	42.9362880886427
tdna009-Rep2-MiFish-U_S65_L001_R1_001.fastq.gz	871	445	403	314	292	292	292	0	0	33.5246842709529
tdna009-Rep3-MiFish-U_S121_L001_R1_001.fastq.gz	69030	66378	66291	66262	66026	66026	58804	0	10.9381152879169	85.1861509488628
tdna010-Rep1-MiFish-U_S10_L001_R1_001.fastq.gz	103411	97749	97636	96758	94458	94234	84122	0.237142433674222	10.7307341299319	81.3472454574465
tdna010-Rep2-MiFish-U_S66_L001_R1_001.fastq.gz	89065	84174	84052	83362	80403	80313	51375	0.111936121786499	36.0315266519742	57.6825913658564
tdna010-Rep3-MiFish-U_S122_L001_R1_001.fastq.gz	69145	62186	62120	61829	61445	61259	60557	0.302709740418265	1.14595406389265	87.5797237688915
tdna011-Rep1-MiFish-U_S11_L001_R1_001.fastq.gz	86706	82658	82631	82366	78244	78242	65535	0.00255610653852045	16.2406380205005	75.5830046363573
tdna011-Rep2-MiFish-U_S67_L001_R1_001.fastq.gz	70959	67917	67846	67665	65340	65338	55242	0.00306091215182391	15.4519575132389	77.8505897771953
tdna011-Rep3-MiFish-U_S123_L001_R1_001.fastq.gz	101786	96617	96416	95515	92294	92088	84776	0.223199774633244	7.94023108331162	83.2884679621952
tdna012-Rep1-MiFish-U_S12_L001_R1_001.fastq.gz	84571	79876	79791	79503	78769	78762	2604	0.00888674478538576	96.6938371295803	3.07906965744759
tdna012-Rep2-MiFish-U_S68_L001_R1_001.fastq.gz	105125	99643	99582	99307	98150	98146	847	0.00407539480387697	99.1369999796222	0.805707491082045
tdna012-Rep3-MiFish-U_S124_L001_R1_001.fastq.gz	80673	77159	77093	76986	76198	76142	981	0.073492742591668	98.7116177668041	1.21602022981667
tdna013-Rep1-MiFish-U_S13_L001_R1_001.fastq.gz	1433	1081	1052	943	926	926	926	0	0	64.6196789951152
tdna013-Rep2-MiFish-U_S69_L001_R1_001.fastq.gz	44710	42489	42442	42288	41743	41743	841	0	97.9852909469851	1.88101095951689
tdna013-Rep3-MiFish-U_S125_L001_R1_001.fastq.gz	77195	73910	73851	73698	73221	73187	5277	0.0464347659824398	92.7897030893465	6.83593496988147
tdna014-Rep1-MiFish-U_S14_L001_R1_001.fastq.gz	86315	81235	81181	80900	78602	78574	63986	0.0356225032441984	18.5659378420343	74.1307999768291
tdna014-Rep2-MiFish-U_S70_L001_R1_001.fastq.gz	76649	71923	71842	71250	69352	69305	61356	0.0677702157111497	11.4695909386047	80.048011063419
tdna014-Rep3-MiFish-U_S126_L001_R1_001.fastq.gz	43896	41865	41764	41732	41373	41337	37299	0.0870132695236094	9.76848827926555	84.9712957900492
tdna015-Rep1-MiFish-U_S15_L001_R1_001.fastq.gz	57077	53889	53823	53651	53325	53228	52090	0.181903422409746	2.13797249567897	91.2626802389754
tdna015-Rep2-MiFish-U_S71_L001_R1_001.fastq.gz	1163	895	866	784	757	757	520	0	31.3077939233818	44.7119518486672
tdna015-Rep3-MiFish-U_S127_L001_R1_001.fastq.gz	34258	32742	32528	32586	32378	32378	32378	0	0	94.5122307198319
tdna016-Rep1-MiFish-U_S16_L001_R1_001.fastq.gz	90209	85307	85142	84082	81872	81611	71320	0.318790306820404	12.6098197546899	79.0608475872696
tdna016-Rep2-MiFish-U_S72_L001_R1_001.fastq.gz	81389	77391	76805	76672	73620	73620	65897	0	10.4903558815539	80.9654867365369
tdna016-Rep3-MiFish-U_S128_L001_R1_001.fastq.gz	103203	98812	98673	98025	95174	94878	89504	0.311009309265131	5.66411602268177	86.7261610612095
tdna017-Rep1-MiFish-U_S17_L001_R1_001.fastq.gz	124853	119701	119580	118765	117878	117488	96449	0.330850540389221	17.9073607517363	77.2500460541597
tdna017-Rep2-MiFish-U_S73_L001_R1_001.fastq.gz	87738	82991	82898	82381	79007	78983	54758	0.0303770551976328	30.6711570844359	62.4108140144521
tdna017-Rep3-MiFish-U_S129_L001_R1_001.fastq.gz	76037	72536	72495	72233	69901	69901	62343	0	10.8124347291169	81.990346804845
tdna018-Rep1-MiFish-U_S18_L001_R1_001.fastq.gz	92100	88209	88036	87727	86003	85806	69272	0.229061776914762	19.2690487844673	75.213897937025
tdna018-Rep2-MiFish-U_S74_L001_R1_001.fastq.gz	77947	73510	73271	72990	72034	71980	61227	0.0749646000499808	14.9388719088636	78.5495272428702
tdna018-Rep3-MiFish-U_S130_L001_R1_001.fastq.gz	85696	80641	80363	79975	78486	78412	71683	0.0942843309634753	8.58159465387951	83.6480115758028
tdna019-Rep1-MiFish-U_S19_L001_R1_001.fastq.gz	86447	83235	83149	82528	81567	81555	64668	0.0147118319908799	20.7062718410888	74.8065288558307
