sample	reads.in	reads.out	percentage_retained
NEG-1_S169_L001_R1_001.fastq.gz	215	122	56.7441860465116
NEG-2_S170_L001_R1_001.fastq.gz	348	186	53.448275862069
NEG-3_S171_L001_R1_001.fastq.gz	385	200	51.9480519480519
NEG-4_S172_L001_R1_001.fastq.gz	217	129	59.4470046082949
tdna001-Rep1-MiFish-U_S1_L001_R1_001.fastq.gz	77195	72904	94.4413498283568
tdna001-Rep2-MiFish-U_S57_L001_R1_001.fastq.gz	66641	62589	93.9196590687415
tdna001-Rep3-MiFish-U_S113_L001_R1_001.fastq.gz	48674	46360	95.2459218473929
tdna002-Rep1-MiFish-U_S2_L001_R1_001.fastq.gz	62403	58461	93.6829960098072
tdna002-Rep2-MiFish-U_S58_L001_R1_001.fastq.gz	86037	81278	94.4686588328277
tdna002-Rep3-MiFish-U_S114_L001_R1_001.fastq.gz	97616	92171	94.4220209801672
tdna003-Rep1-MiFish-U_S3_L001_R1_001.fastq.gz	73983	70066	94.705540461998
tdna003-Rep2-MiFish-U_S59_L001_R1_001.fastq.gz	80129	76603	95.5995956520111
tdna003-Rep3-MiFish-U_S115_L001_R1_001.fastq.gz	69983	65116	93.0454538959462
tdna004-Rep1-MiFish-U_S4_L001_R1_001.fastq.gz	65333	61334	93.8790504033184
tdna004-Rep2-MiFish-U_S60_L001_R1_001.fastq.gz	84768	80147	94.5486504341261
tdna004-Rep3-MiFish-U_S116_L001_R1_001.fastq.gz	41944	40198	95.837306885371
tdna005-Rep1-MiFish-U_S5_L001_R1_001.fastq.gz	65891	62604	95.0114583175244
tdna005-Rep2-MiFish-U_S61_L001_R1_001.fastq.gz	44713	42753	95.6164873750363
tdna005-Rep3-MiFish-U_S117_L001_R1_001.fastq.gz	27889	26464	94.8904586037506
tdna006-Rep1-MiFish-U_S6_L001_R1_001.fastq.gz	1782	1108	62.1773288439955
tdna006-Rep2-MiFish-U_S62_L001_R1_001.fastq.gz	72617	67915	93.5249321784155
tdna006-Rep3-MiFish-U_S118_L001_R1_001.fastq.gz	45856	43664	95.2198185624564
tdna007-Rep1-MiFish-U_S7_L001_R1_001.fastq.gz	84916	80428	94.7147769560507
tdna007-Rep2-MiFish-U_S63_L001_R1_001.fastq.gz	74412	70769	95.1042842552277
tdna007-Rep3-MiFish-U_S119_L001_R1_001.fastq.gz	18968	18148	95.6769295655841
tdna008-Rep1-MiFish-U_S8_L001_R1_001.fastq.gz	44815	42130	94.0087024433783
tdna008-Rep2-MiFish-U_S64_L001_R1_001.fastq.gz	66608	62804	94.2889742973817
tdna008-Rep3-MiFish-U_S120_L001_R1_001.fastq.gz	9115	8483	93.0663741086122
tdna009-Rep1-MiFish-U_S9_L001_R1_001.fastq.gz	1083	638	58.9104339796861
tdna009-Rep2-MiFish-U_S65_L001_R1_001.fastq.gz	871	445	51.0907003444317
tdna009-Rep3-MiFish-U_S121_L001_R1_001.fastq.gz	69030	66378	96.1581920903955
tdna010-Rep1-MiFish-U_S10_L001_R1_001.fastq.gz	103411	97749	94.5247604220054
tdna010-Rep2-MiFish-U_S66_L001_R1_001.fastq.gz	89065	84174	94.5085050244204
tdna010-Rep3-MiFish-U_S122_L001_R1_001.fastq.gz	69145	62186	89.9356424904187
tdna011-Rep1-MiFish-U_S11_L001_R1_001.fastq.gz	86706	82658	95.3313496182502
tdna011-Rep2-MiFish-U_S67_L001_R1_001.fastq.gz	70959	67917	95.7130173762313
tdna011-Rep3-MiFish-U_S123_L001_R1_001.fastq.gz	101786	96617	94.9216984654078
tdna012-Rep1-MiFish-U_S12_L001_R1_001.fastq.gz	84571	79876	94.4484515968831
tdna012-Rep2-MiFish-U_S68_L001_R1_001.fastq.gz	105125	99643	94.785255648038
tdna012-Rep3-MiFish-U_S124_L001_R1_001.fastq.gz	80673	77159	95.6441436416149
tdna013-Rep1-MiFish-U_S13_L001_R1_001.fastq.gz	1433	1081	75.4361479413817
tdna013-Rep2-MiFish-U_S69_L001_R1_001.fastq.gz	44710	42489	95.03243122344
tdna013-Rep3-MiFish-U_S125_L001_R1_001.fastq.gz	77195	73910	95.7445430403524
tdna014-Rep1-MiFish-U_S14_L001_R1_001.fastq.gz	86315	81235	94.1145803162834
tdna014-Rep2-MiFish-U_S70_L001_R1_001.fastq.gz	76649	71923	93.8342313663583
tdna014-Rep3-MiFish-U_S126_L001_R1_001.fastq.gz	43896	41865	95.3731547293603
tdna015-Rep1-MiFish-U_S15_L001_R1_001.fastq.gz	57077	53889	94.4145627836081
tdna015-Rep2-MiFish-U_S71_L001_R1_001.fastq.gz	1163	895	76.9561478933792
tdna015-Rep3-MiFish-U_S127_L001_R1_001.fastq.gz	34258	32742	95.5747562613112
tdna016-Rep1-MiFish-U_S16_L001_R1_001.fastq.gz	90209	85307	94.565952399428
tdna016-Rep2-MiFish-U_S72_L001_R1_001.fastq.gz	81389	77391	95.087788276057
tdna016-Rep3-MiFish-U_S128_L001_R1_001.fastq.gz	103203	98812	95.7452787225178
tdna017-Rep1-MiFish-U_S17_L001_R1_001.fastq.gz	124853	119701	95.8735472916149
tdna017-Rep2-MiFish-U_S73_L001_R1_001.fastq.gz	87738	82991	94.5895735029292
tdna017-Rep3-MiFish-U_S129_L001_R1_001.fastq.gz	76037	72536	95.3956626379263
tdna018-Rep1-MiFish-U_S18_L001_R1_001.fastq.gz	92100	88209	95.7752442996743
tdna018-Rep2-MiFish-U_S74_L001_R1_001.fastq.gz	77947	73510	94.3076705966875
tdna018-Rep3-MiFish-U_S130_L001_R1_001.fastq.gz	85696	80641	94.1012415982076
tdna019-Rep1-MiFish-U_S19_L001_R1_001.fastq.gz	86447	83235	96.284428609437
tdna019-Rep2-MiFish-U_S75_L001_R1_001.fastq.gz	86172	82375	95.5936963282737
tdna019-Rep3-MiFish-U_S131_L001_R1_001.fastq.gz	91892	86732	94.3847124885735
tdna020-Rep1-MiFish-U_S20_L001_R1_001.fastq.gz	139301	133193	95.6152504289273
tdna020-Rep2-MiFish-U_S76_L001_R1_001.fastq.gz	86932	82409	94.7970827773432
tdna020-Rep3-MiFish-U_S132_L001_R1_001.fastq.gz	95458	90830	95.1517945064845
tdna021-Rep1-MiFish-U_S21_L001_R1_001.fastq.gz	94129	90227	95.8546250358551
tdna021-Rep2-MiFish-U_S77_L001_R1_001.fastq.gz	116594	111315	95.472322761034
tdna021-Rep3-MiFish-U_S133_L001_R1_001.fastq.gz	100829	96035	95.2454155054597
tdna022-Rep1-MiFish-U_S22_L001_R1_001.fastq.gz	73152	69448	94.9365704286964
tdna022-Rep2-MiFish-U_S78_L001_R1_001.fastq.gz	89391	84183	94.1739101251804
tdna022-Rep3-MiFish-U_S134_L001_R1_001.fastq.gz	89349	84965	95.0933977996396
tdna023-Rep1-MiFish-U_S23_L001_R1_001.fastq.gz	81261	78027	96.0202311071732
tdna023-Rep2-MiFish-U_S79_L001_R1_001.fastq.gz	68144	64683	94.921049542146
tdna023-Rep3-MiFish-U_S135_L001_R1_001.fastq.gz	76409	73260	95.8787577379628
tdna024-Rep1-MiFish-U_S24_L001_R1_001.fastq.gz	103177	99207	96.1522432325034
tdna024-Rep2-MiFish-U_S80_L001_R1_001.fastq.gz	66559	61902	93.0032001682718
tdna024-Rep3-MiFish-U_S136_L001_R1_001.fastq.gz	75805	72532	95.6823428533738
tdna025-Rep1-MiFish-U_S25_L001_R1_001.fastq.gz	207931	197967	95.2080257393078
